who_id,spatial_type,country_code,region,sex,prevalence,ci_low,ci_high,year
951007,Region,WPR,,Male,23.22508,19.81398,26.82552,2010
951833,Country,QAT,Eastern Mediterranean,Male,46.199745,33.522572,58.878918,2010
951955,Country,BRN,Western Pacific,Female,36.193363,21.513872,52.714764,2019
952621,Country,BHR,Eastern Mediterranean,Male,34.262978,15.071355,59.493984,2016
952711,Country,MLI,Africa,Both sexes,33.919476,21.537233,47.789452,2010
953119,Country,URY,Americas,Male,28.214382,17.53286,40.093521,2012
953348,Country,ROU,Europe,Female,21.250023,6.5601087,42.768356,2000
954205,Global,GLOBAL,,Male,21.231636,18.304272,24.550396,2001
29,Country,KNA,Americas,Both sexes,38.649147,24.015909,53.761047,2015
695,Country,WSM,Western Pacific,Both sexes,28.883972,22.874971,35.296017,2007
3219,Country,JPN,Western Pacific,Male,29.484329,13.722679,50.564968,2006
3242,Global,GLOBAL,,Male,21.511904,18.698532,24.674263,2002
3295,Country,SDN,Eastern Mediterranean,Female,24.58548,10.847883,42.450493,2006
3545,Country,MMR,South-East Asia,Male,19.835592,9.9832296,33.001373,2020
4459,Country,TUR,Europe,Both sexes,43.308422,34.450211,52.447277,2017
4537,Region,WPR,,Female,23.07988,19.22749,27.38805,2017
5886,Country,FRA,Europe,Both sexes,37.654327,31.56358,44.057453,2002
5894,Country,BWA,Africa,Both sexes,27.909302,19.211874,37.671467,2003
6028,Country,PLW,Western Pacific,Female,36.891537,23.994347,50.699661,2015
6839,Country,HRV,Europe,Both sexes,21.514585,17.072905,26.220819,2014
6875,Country,NZL,Western Pacific,Both sexes,19.507259,15.966052,23.510382,2016
8241,Country,BEN,Africa,Female,20.108444,8.8456268,36.209263,2021
8499,Country,ATG,Americas,Female,37.056767,14.070593,66.316856,2006
8566,Country,LBY,Eastern Mediterranean,Both sexes,39.938206,32.57679,47.890251,2011
9161,Country,GTM,Americas,Male,16.199211,10.43415,23.282833,2009
9950,Country,GNQ,Africa,Both sexes,19.979118,8.1141777,36.786495,2018
10108,Country,UKR,Europe,Female,11.501532,6.7153549,17.659931,2012
10857,Country,BGD,South-East Asia,Male,11.907827,6.2956595,19.409866,2002
11235,Country,BRB,Americas,Male,33.429535,19.662069,49.402546,2014
11331,Country,JAM,Americas,Male,24.003857,12.639385,37.844093,2002
11544,Country,JOR,Eastern Mediterranean,Both sexes,27.592573,22.540874,32.912914,2010
12339,Country,SVK,Europe,Male,22.651581,15.478352,30.777794,2018
14457,Country,UZB,Europe,Both sexes,22.26165,17.48567,27.439318,2015
16263,Country,PHL,Western Pacific,Male,15.839613,9.5834112,23.296175,2005
16811,Country,MDG,Africa,Male,12.736061,4.1914024,28.336052,2012
17191,Country,FIN,Europe,Female,19.84263,14.118309,26.491106,2007
17548,Country,COK,Western Pacific,Both sexes,25.422981,18.174231,33.713932,2022
18367,Country,JOR,Eastern Mediterranean,Female,26.068354,15.155792,38.96859,2020
19125,Country,TGO,Africa,Both sexes,13.938932,9.0960608,19.70573,2008
19702,Country,CZE,Europe,Male,22.566118,13.572619,33.427475,2000
20102,Country,KEN,Africa,Both sexes,11.74945,8.132885,16.246519,2006
20147,Country,GNQ,Africa,Female,24.534489,5.1434407,55.838024,2020
20993,Country,PNG,Western Pacific,Male,14.641498,7.4815249,24.257359,2004
21797,Country,MHL,Western Pacific,Both sexes,26.454121,12.075493,44.097019,2018
22839,Country,AZE,Europe,Both sexes,22.447563,10.558557,38.586685,2001
22881,Country,ISL,Europe,Female,32.360855,11.613359,60.236996,2009
22967,Country,USA,Americas,Female,35.718952,28.37607,43.72739,2006
27210,Country,COL,Americas,Female,32.816715,11.470493,62.083595,2006
27279,Country,AGO,Africa,Both sexes,17.917162,7.0738764,34.440689,2017
27690,Country,CIV,Africa,Both sexes,20.216505,9.0357475,35.04829,2018
27788,Country,CYP,Europe,Both sexes,41.104881,33.687111,48.663712,2019
29487,Country,CHL,Americas,Both sexes,24.898355,15.463694,36.045464,2003
29972,Country,ATG,Americas,Male,26.225958,10.138384,49.110966,2006
30458,Region,EMR,,Male,23.714636,18.786684,29.220312,2000
30939,World Bank Income Group,WB_HI,,Female,34.417355,30.098776,38.757236,2006
32857,Country,KNA,Americas,Male,26.95759,12.211937,45.756706,2002
32917,Country,ARM,Europe,Both sexes,23.280539,10.862136,40.259247,2000
33711,Country,NOR,Europe,Male,31.702503,15.661441,51.294518,2020
34228,Country,ARE,Eastern Mediterranean,Male,63.121742,47.737541,76.899628,2022
34274,Country,KEN,Africa,Male,10.525333,5.4547029,17.427845,2003
34362,Country,NLD,Europe,Female,11.052065,7.1247659,15.838419,2021
36884,Country,LBN,Eastern Mediterranean,Female,49.105228,37.71627,60.525555,2014
38840,Region,AFR,,Female,22.973423,18.715826,28.239737,2007
38854,Country,BEN,Africa,Both sexes,17.050034,10.651381,24.889889,2007
41431,Country,LKA,South-East Asia,Female,26.055771,18.091681,35.523998,2005
41967,Country,CHN,Western Pacific,Female,19.406527,12.064854,27.96455,2021
46442,Country,SRB,Europe,Male,40.795315,28.141924,54.336323,2008
47082,Region,AFR,,Male,14.915045,11.465664,19.395727,2018
49510,Country,MMR,South-East Asia,Female,23.619944,16.84815,31.266556,2008
50689,Country,SAU,Eastern Mediterranean,Female,63.900894,56.170101,71.006355,2011
52426,World Bank Income Group,WB_UMI,,Both sexes,25.92786,23.022049,29.100758,2019
53203,Country,COD,Africa,Both sexes,14.868432,4.3440757,30.958775,2022
54363,Country,ZAF,Africa,Male,43.536415,32.245529,55.660469,2015
